id_cliente,nombre,es_platinum,hash_clave
C0001,Cliente 0001,false,0213e59277e03ee3d81823b4c8430edb3aa58fd0a7d8107598d9d1756f36e663
C0002,Cliente 0002,true,1e517803804ca81368ed57c3e393efbf6ca70746c42e89194ec707850e8fd923
C0003,Cliente 0003,true,4ae0096b03456ba4c0645aa454be105c15765a74c00f7c75a596a6546a39e2a9
C0004,Cliente 0004,true,6eca09a790ba3801ef7973ab6cf51dad1a9724580c433d63218aeb1cdd784bf1
C0005,Cliente 0005,false,d2fe36843382abe662828c60822d492b541770eb720f41e5f51ba31115d2b342
C0006,Cliente 0006,false,29552b539fe7dd40ce67ffa948b7a2517903e1b7dacfe01e364bd2d45c117a8b
C0007,Cliente 0007,false,6b9f913f01c9c1c0593ecb347fac0b66269fdb1dde3cc3a72747ac04e6141907
C0008,Cliente 0008,true,f8b811aac9d33772a505dc9f0d8e446a60389363fd4eb6c8e45960fe6decad9e
C0009,Cliente 0009,false,1875d40d3fda81ad045568cd15616da9b45923799c729bceb3021c9ac1201fba
C0010,Cliente 0010,true,ec9ed01dc8ab7d6946008f3b06e357900c09ae50adc2525b0370b0a965043a7c
C0011,Cliente 0011,true,608e6dbc59b2365f18ba528b447b279704428d59333a9e3396e9c1027912e998
C0012,Cliente 0012,false,86842a175f69f8d70bd19545ceb593a33ee0fd3a56e15deddb6cf37eaa940872
C0013,Cliente 0013,true,42171a11da0a375aa03bc8deff65a0db10c438b1dba09bf7ca8fd84b41b043ac
C0014,Cliente 0014,true,9b7ad66a3904d885355d8454422099cfb31b4ad73dca9f97891501d46eb8edb8
C0015,Cliente 0015,false,25733eb124cc9cc712ec144d618b1e9fbca3151316d94aa426073463d7227147
C0016,Cliente 0016,false,3454667d97be96d398460ef1af254ba841d3568a44d9c688e4f059cdee84211a
C0017,Cliente 0017,true,aa69373ee2bdc2d3258d1df8effc823e90d841dbc7e1866a1731fc1616a7763f
C0018,Cliente 0018,false,803b5c8ece00e57012855be37fbc51b4ac04ecc3b617c459d95d7f6e2b591f1b
C0019,Cliente 0019,false,cfe1aa493c90dafec7ed5fa6dd0f33b927cab2362d36264329b6794b2541a537
C0020,Cliente 0020,true,0661bae0991781b279815b213de34998ac0fac2cff76db3f4fd01e0e53482e3b
C0021,Cliente 0021,false,82737b8e352c7a3a636e31fb30846dd3b9cecadd0157b386f8fa2ae010894fae
C0022,Cliente 0022,false,f021f9748b170b0946237a20f520995ad57e847e0c7e589a79e62f3b523f2c37
C0023,Cliente 0023,false,dfcf9ff247791c219e5e60514fcc95affc512390127e30bcb44d40ad889ae8cf
C0024,Cliente 0024,true,427af1ba2f2a1ecbe33ab217f7f9a3cafcc207e41b19034a503b2877c1af680c
C0025,Cliente 0025,false,11abf3e64b66a4d5afd35c1637f8d26176841df760ebd7c12be31a819713f3bf
C0026,Cliente 0026,false,e45c429905c41a8cc0c4fb5e7caa843c93c65c6b65b96ebe2fc6f6d476883694
C0027,Cliente 0027,true,78c7b92aaf5eb3ce60b28e64ba53c0212c4abf86f5d5c18593be27dfe1d5ea8a
C0028,Cliente 0028,true,de71cba7a5b34790a2566db94fa5373efbcd0e7f88ec6c5bdc2611602b456504
C0029,Cliente 0029,false,a3c0cfeaaf8c7d08c1b9c66a3b1e591f73d6c858b2fb0c784821fe7fbc8692dd
C0030,Cliente 0030,false,3e59f2dd6962cf1d95380ad10abaa47285ed1d3e379b39498102f953fa177df7
C0031,Cliente 0031,false,311cefd931b1d489308dd837ce25da4529c2efa2fcb975f39a4d456496b7778a
C0032,Cliente 0032,false,8b59178f2de3b3bbef4dc7ac0b0aa756db49f32968cdad342bca6ac5f5a6f3ef
C0033,Cliente 0033,false,9da5f40542f44c94570c3849683c73be1bfc3942195b1792fff06367b5c7d1b8
C0034,Cliente 0034,false,4dd6ecc1d792bfbb609d9df03c0584a4bd79f671110250c828c8470b5fac4815
C0035,Cliente 0035,false,b20525475e887e5775fbad8a7ba14d0e2ff07b28d11fc39b4ef96377834a5217
C0036,Cliente 0036,false,4c09d1b8af62890e481391d5dfa9dc9bddd8075afadc9a7cb1d4921a9f11514d
C0037,Cliente 0037,false,b1b14904aa17e9ecc58bbc8a03230fb0663f3aef1b7ab357a7ab863dfc22115c
C0038,Cliente 0038,false,6a47be413b8fe886406d7b5a66102b387a73d0a3311d3c593939c1b9a1cc0233
C0039,Cliente 0039,false,13565a39e88ac31fdbdc74d145b3148841510b73d27b76e3d8ba5840b9c69f20
C0040,Cliente 0040,false,7cbdb0284da24befd40c02b2befdd9a28d01f0b1df19a12a8cd7ddf9e478f0ec
C0041,Cliente 0041,false,be798d0c55b2daceb592ba883cc37739906acb9a607fd0dadd00132e7d852777
C0042,Cliente 0042,true,84db8a945c68baaeafaa1eec9a27a7075bbc375951ed414081ff2cac9aecaa44
C0043,Cliente 0043,true,288ec13a6e33a5a1437ecd45368ef1bb31b6c77bc8d484855c58e757fe14c978
C0044,Cliente 0044,true,327501b30fbb194395d1d4e2ff4621a73f790b6adc858206b4d482134d209ef9
C0045,Cliente 0045,true,eb2310a56fe53ea04637308e03a243ad1b6149a4cab8b58c9633dac9dac252af
C0046,Cliente 0046,true,77adfdbf1e729f718ee588e43862b951950762d7a47515060bea42bb1fdd183b
C0047,Cliente 0047,true,eb6f5e3e77d26de64913711656398397b04f60760efeddb9c109e51408935be2
C0048,Cliente 0048,true,e183726e902ac32efdf3700e3b13d1316c17d201a482114199dc8ba0e9496c31
C0049,Cliente 0049,false,866a3d6d4615f4d4c57eae5c6526d7179f80dc0e860eca9daef0cbea8fd0bfb5
C0050,Cliente 0050,false,024416ed2d06092c743aa6f66d4452d7b42232817e0c09697b5f2031a4a0ec4a
C0051,Cliente 0051,false,39c8dc0951bcae8bedfa7f2a8704cfe78056ff1bc08aed0014e7cfcb26e1d1ee
C0052,Cliente 0052,true,fecfe435d2f1f19c8586d56c78dd9dec0148adba43dba3f9d41a4a1d0037458e
C0053,Cliente 0053,true,6c39e9d4d7dc027fb9b66d2f3035f485d0a335455f3bce76772ed027f7045f4d
C0054,Cliente 0054,false,5995a7e688738c9c989a958c822b608dd73aa28e32300d598523f98209d36911
C0055,Cliente 0055,false,a635dc8f43d36a17afd200bee25727af237f4fffaa4ae64b0c5df47f00c80c9c
C0056,Cliente 0056,false,e1703f515441b9ddb8a786792315395e4282c4fc6e8a3a486e4cbd1468269db4
C0057,Cliente 0057,true,f1411c00bf8ca8c30bcc9297f18f8948729761419bd817898fab900b6da2eb76
C0058,Cliente 0058,false,b80827874b43f6e7ed3bad47e83e714f87c22d1672008371096457e0d8f5b5ff
C0059,Cliente 0059,true,fb55580f074c6717829d8eddc281440ec58a6b5b19bc68af00153de281bb7668
